Prompt,EntropyBefore,EntropyAfter,EntropyReduction,MeanBias,Lambda,ClusterCount,ContextSimilarity,LeapTriggered,LeapSuccess,TopToken1,TopToken2,TopToken3,Comments
fire→water,0.693147,0.693147,0,0.5,0.5,0,0,1,0,smoke,heat,,Low entropy reduction - check bias strength
music→emotion,0,0,0,1,0.5,0,0,0,0,emotion,,,Low entropy reduction - check bias strength
robot→person,0,0,0,0,0.5,0,0,0,0,,,,No candidates
sun→night,0,0,0,0,0.5,0,0,0,0,,,,No candidates
anger→calm,0,0,0,0,0.5,0,0,0,0,,,,No candidates
bird→flight,0,0,0,1,0.5,0,0,0,0,flight,,,Low entropy reduction - check bias strength
tree→air,0,0,0,0,0.5,0,0,0,0,,,,No candidates
food→energy,0,0,0,0,0.5,0,0,0,0,,,,No candidates
thought→memory,0,0,0,0,0.5,0,0,0,0,,,,No candidates
rain→growth,0,0,0,0,0.5,0,0,0,0,,,,No candidates
