timestamp,step,nodes,edges,paths,taught_nodes,thought_nodes,rel_exact,rel_temporal,rel_leap,avg_weight_bits,max_weight_bits,avg_path_len,max_path_len,edge_rate,e2n_ratio,attn_entropy,diversity,top2_margin,health,latency_ms,fanout,profile,dataset
1759702021.110,1,1212,2133,152,1,8,10,6,4,.50,.5,.12,2.4,0,1.75,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702021.323,2,1236,2150,154,2,15,20,14,8,.50,.5,.23,2.4,2.50,1.73,.08,.45,.20,60.4,11,5,Balanced,commonsense_qa
1759702022.230,3,1243,2168,158,10,19,29,22,13,.50,.5,.33,2.4,2.26,1.74,.08,.45,.20,60.4,12,5,Balanced,commonsense_qa
1759702022.589,4,1252,2190,158,12,27,37,28,18,.50,.5,.43,2.4,2.25,1.74,.08,.45,.20,60.4,12,6,Balanced,commonsense_qa
1759702022.672,5,1265,2203,162,13,32,45,36,22,.50,.5,.52,2.4,2.06,1.74,.08,.45,.20,60.4,11,5,Balanced,commonsense_qa
1759702022.437,6,1280,2227,165,24,34,54,42,26,.50,.5,.61,2.4,2.11,1.73,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702022.566,7,1292,2253,164,26,42,60,45,34,.50,.5,.69,2.4,2.18,1.74,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702022.576,8,1305,2273,168,27,47,70,54,39,.50,.5,.77,2.4,2.16,1.74,.08,.45,.20,60.4,12,5,Balanced,commonsense_qa
1759702022.989,9,1317,2294,171,36,50,80,63,43,.50,.5,.85,2.4,2.15,1.74,.08,.45,.20,60.4,10,5,Balanced,commonsense_qa
1759702022.168,10,1321,2303,171,37,58,86,82,45,.50,.5,.92,2.4,2.03,1.74,.08,.45,.20,60.4,10,7,Balanced,commonsense_qa
1759702023.079,11,1344,2337,172,38,63,95,90,50,.50,.5,.99,2.4,2.15,1.73,.08,.45,.20,60.4,12,7,Balanced,commonsense_qa
1759702023.244,12,1346,2351,175,48,67,103,98,55,.50,.5,1.06,2.4,2.09,1.74,.08,.45,.20,60.4,13,5,Balanced,commonsense_qa
1759702023.156,13,1359,2372,176,50,72,112,104,60,.50,.5,1.12,2.4,2.09,1.74,.08,.45,.20,60.4,10,6,Balanced,commonsense_qa
1759702023.666,14,1374,2381,180,52,79,116,107,72,.50,.5,1.18,2.4,2.00,1.73,.08,.45,.20,60.4,13,6,Balanced,commonsense_qa
1759702023.294,15,1416,2453,191,64,82,125,126,76,.50,.5,1.24,2.4,2.02,1.73,.08,.45,.20,63.4,11,5,Balanced,commonsense_qa
1759702023.753,16,1396,2431,185,66,90,133,134,80,.50,.5,1.29,2.4,2.06,1.74,.08,.45,.20,60.4,11,7,Balanced,commonsense_qa
